Country,HMD_Country_Code,Label
Australia,AUS,AUS
Austria,AUT,AUT
Belgium,BEL,BEL
Bulgaria,BGR,BGR
Canada,CAN,CAN
Czechia,CZE,CZE
Denmark,DNK,DNK
Finland,FIN,FIN
France,FRATNP,FRA
Hungary,HUN,HUN
Iceland,ISL,ISL
Ireland,IRL,IRL
Japan,JPN,JPN
Lithuania,LTU,LTU
Luxembourg,LUX,LUX
Netherlands,NLD,NLD
New Zealand,NZL_NP,NZL
Norway,NOR,NOR
Poland,POL,POL
Portugal,PRT,PRT
Slovakia,SVK,SVK
Spain,ESP,ESP
Sweden,SWE,SWE
Switzerland,CHE,CHE
Taiwan,TWN,TWN
United Kingdom,GBR_NP,UK
England and Wales,GBRTENW,ENW
Scotland,GBR_SCO,SCO
Northern Ireland,GBR_NIR,NIR
USA,USA,USA
